timestamp,f3_temp,f3_hum,f10_temp,f10_hum,out_temp,out_hum,entemp,enhum,extemp,exthum,cammode,outstatus_0x0002,outstatus_0x0004,outstatus_0x0008
2019-09-01 00:00:00,24.17,52.9,25.47,49.55,26.5,71.5,25.76,78.59,22.89,56.029999999999994,5.0,1.0,1.0,1.0
2019-09-01 00:10:00,24.17,52.9,25.47,49.55,26.5,71.5,25.640000000000004,78.67,22.74,54.58,5.0,1.0,1.0,1.0
2019-09-01 00:20:00,24.17,52.9,25.47,49.55,26.5,71.5,25.619999999999997,78.02,22.759999999999998,52.77,5.0,1.0,1.0,1.0
2019-09-01 00:30:00,24.17,52.9,25.47,49.55,26.5,71.5,25.6,78.47,22.740000000000002,53.46,5.0,1.0,1.0,1.0
2019-09-01 00:40:00,24.17,52.9,25.47,49.55,26.5,71.5,25.439999999999998,79.85,22.919999999999998,52.779999999999994,5.0,1.0,1.0,1.0
2019-09-01 00:50:00,24.17,52.9,25.47,49.55,26.5,71.5,25.38,79.22,22.8,52.5,5.0,1.0,1.0,1.0
2019-09-01 01:00:00,24.17,52.9,25.47,49.55,26.5,71.5,25.419999999999998,79.09,22.619999999999997,52.69,5.0,1.0,1.0,1.0
2019-09-01 01:10:00,24.17,52.9,25.47,49.55,26.5,71.5,25.24,80.74,22.759999999999998,52.94,5.0,1.0,1.0,1.0
2019-09-01 01:20:00,24.17,52.9,25.47,49.55,26.5,71.5,25.2,80.78999999999999,22.64,53.67,5.0,1.0,1.0,1.0
2019-09-01 01:30:00,24.17,52.9,25.47,49.55,26.5,71.5,25.2,80.33,22.4,53.410000000000004,5.0,1.0,1.0,1.0
2019-09-01 01:40:00,24.17,52.9,25.47,49.55,26.5,71.5,25.16,81.49,22.68,53.42999999999999,5.0,1.0,1.0,1.0
2019-09-01 01:50:00,24.17,52.9,25.47,49.55,26.5,71.5,25.0,82.02000000000001,22.6,53.55,5.0,1.0,1.0,1.0
2019-09-01 02:00:00,24.17,52.9,25.47,49.55,26.5,71.5,25.18,80.96000000000001,22.580000000000002,53.17999999999999,5.0,1.0,1.0,1.0
2019-09-01 02:10:00,24.17,52.9,25.47,49.55,26.5,71.5,25.16,81.59,22.82,52.589999999999996,5.0,1.0,1.0,1.0
2019-09-01 02:20:00,24.17,52.9,25.47,49.55,26.5,71.5,25.14,81.19,22.419999999999998,53.510000000000005,5.0,1.0,1.0,1.0
2019-09-01 02:30:00,24.17,52.9,25.47,49.55,26.5,71.5,25.0,81.59,22.54,53.42999999999999,5.0,1.0,1.0,1.0
2019-09-01 02:40:00,24.17,52.9,25.47,49.55,26.5,71.5,24.880000000000003,82.82000000000001,22.72,53.36,5.0,1.0,1.0,1.0
2019-09-01 02:50:00,24.17,52.9,25.47,49.55,26.5,71.5,24.919999999999998,82.31,22.619999999999997,52.8,5.0,1.0,1.0,1.0
