timestamp,out_hum,f3_hum,f10_temp,f10_hum,f3_temp,out_temp,entemp,extemp,cammode,enhum,exthum,outstatus_0x0002,outstatus_0x0004,outstatus_0x0008
2019-09-11 00:00:00,82.0,53.07,27.17,48.37,26.17,26.0,28.3,24.4,5.0,84.7,66.2,0.0,0.0,1.0
2019-09-11 00:10:00,83.0,56.35,27.05,48.57,24.97,25.7,28.3,20.2,5.0,84.8,85.8,0.0,0.0,1.0
2019-09-11 00:20:00,82.0,58.05,26.87,48.97,24.45,25.9,28.1,20.2,5.0,86.7,87.2,0.0,0.0,1.0
2019-09-11 00:30:00,82.0,58.45,26.87,49.05,24.25,25.9,28.1,19.9,5.0,82.8,85.5,0.0,0.0,1.0
2019-09-11 00:40:00,82.0,59.05,26.77,49.27,24.12,25.6,28.1,19.9,5.0,84.2,87.7,0.0,0.0,1.0
2019-09-11 00:50:00,84.0,58.97,26.77,49.27,24.17,25.8,27.9,19.9,5.0,84.2,85.9,0.0,0.0,1.0
2019-09-11 01:00:00,84.0,59.07,26.67,49.27,24.07,25.8,27.9,19.9,5.0,86.1,87.4,0.0,0.0,1.0
2019-09-11 01:10:00,85.0,58.97,26.67,49.37,24.05,25.7,27.9,19.9,5.0,85.5,86.9,0.0,0.0,1.0
2019-09-11 01:20:00,87.0,58.97,26.6,49.37,24.07,25.5,27.9,20.0,5.0,86.5,87.1,0.0,0.0,1.0
2019-09-11 01:30:00,88.0,59.07,26.6,49.37,23.95,25.4,27.9,19.9,5.0,86.4,86.6,0.0,0.0,1.0
2019-09-11 01:40:00,89.0,58.97,26.55,49.37,23.97,25.4,27.9,20.0,5.0,86.1,87.2,0.0,0.0,1.0
2019-09-11 01:50:00,89.0,58.85,26.6,49.37,23.97,25.4,27.9,20.0,5.0,86.4,86.6,0.0,0.0,1.0
2019-09-11 02:00:00,89.0,58.85,26.47,49.4,23.97,25.3,27.7,20.0,5.0,87.6,86.0,0.0,0.0,1.0
2019-09-11 02:10:00,88.0,58.97,26.47,49.45,23.95,25.0,27.7,20.0,5.0,88.6,86.4,0.0,0.0,1.0
2019-09-11 02:20:00,89.0,58.9,26.47,49.57,23.97,25.3,27.7,20.0,5.0,89.1,86.6,0.0,0.0,1.0
2019-09-11 02:30:00,88.0,58.77,26.47,49.45,23.97,25.3,27.7,20.0,5.0,88.6,86.0,0.0,0.0,1.0
2019-09-11 02:40:00,94.0,59.07,26.37,49.67,23.95,25.2,27.9,20.4,5.0,91.0,88.1,0.0,0.0,1.0
2019-09-11 02:50:00,96.0,58.77,26.47,49.45,23.95,25.0,27.3,20.4,5.0,93.2,86.1,0.0,0.0,1.0
2019-09-11 03:00:00,96.0,58.9,26.37,49.52,23.95,24.9,27.3,20.4,5.0,94.8,87.1,0.0,0.0,1.0
2019-09-11 03:10:00,96.0,58.85,26.37,49.55,23.97,24.6,27.1,20.4,5.0,94.6,87.5,0.0,0.0,1.0
2019-09-11 03:20:00,95.0,59.27,26.4,49.55,23.95,24.7,27.3,20.6,5.0,95.1,87.6,0.0,0.0,1.0
2019-09-11 03:30:00,96.0,58.95,26.37,49.55,23.97,24.7,27.1,20.4,5.0,95.3,87.8,0.0,0.0,1.0
2019-09-11 03:40:00,95.0,58.97,26.37,49.65,23.97,24.7,27.1,20.4,5.0,95.5,87.1,0.0,0.0,1.0
2019-09-11 03:50:00,96.0,59.17,26.37,49.77,23.95,24.6,27.1,20.4,5.0,95.7,87.1,0.0,0.0,1.0
2019-09-11 04:00:00,96.0,59.17,26.37,49.57,23.95,24.6,27.1,20.4,5.0,95.7,87.4,0.0,0.0,1.0
2019-09-11 04:10:00,96.0,59.4,26.37,49.77,23.85,24.8,26.9,20.2,5.0,96.2,86.9,0.0,0.0,1.0
2019-09-11 04:20:00,96.0,59.17,26.37,49.87,23.95,24.8,26.9,20.4,5.0,96.4,86.4,0.0,0.0,1.0
2019-09-11 04:30:00,96.0,59.35,26.27,49.95,23.9,24.7,26.9,20.2,5.0,95.4,86.3,0.0,0.0,1.0
2019-09-11 04:40:00,96.0,59.57,26.37,49.9,23.85,24.7,27.1,20.2,5.0,95.8,87.6,0.0,0.0,1.0
2019-09-11 04:50:00,97.0,59.35,26.37,49.77,23.85,24.7,26.9,20.0,5.0,94.9,87.4,0.0,0.0,1.0
2019-09-11 05:00:00,96.0,59.57,26.27,49.87,23.77,24.7,26.9,20.0,5.0,94.6,87.6,0.0,0.0,1.0
2019-09-11 05:10:00,96.0,59.57,26.27,49.95,23.77,24.8,27.1,20.2,5.0,94.9,87.0,0.0,0.0,1.0
2019-09-11 05:20:00,95.0,59.4,26.27,49.87,23.9,24.7,26.9,20.2,5.0,95.4,87.8,0.0,0.0,1.0
2019-09-11 05:30:00,95.0,59.57,26.27,49.95,23.77,24.7,26.9,20.2,5.0,95.3,86.9,0.0,0.0,1.0
2019-09-11 05:40:00,95.0,59.57,26.27,49.87,23.77,24.8,27.1,20.0,5.0,95.7,87.4,0.0,0.0,1.0
2019-09-11 05:50:00,95.0,59.7,26.27,49.95,23.77,24.8,27.1,20.0,5.0,94.1,88.0,0.0,0.0,1.0
2019-09-11 06:00:00,96.0,59.8,26.27,49.95,23.77,24.8,27.1,20.0,5.0,95.1,87.7,0.0,0.0,1.0
2019-09-11 06:10:00,95.0,59.67,26.27,49.95,23.77,24.8,27.1,20.2,5.0,95.5,87.5,0.0,0.0,1.0
2019-09-11 06:20:00,96.0,59.47,26.27,50.07,23.77,24.7,27.1,20.2,5.0,95.5,87.5,0.0,0.0,1.0
2019-09-11 06:30:00,96.0,59.57,26.27,50.07,23.77,24.8,27.1,20.0,5.0,94.3,87.8,0.0,0.0,1.0
2019-09-11 06:40:00,95.0,59.75,26.17,50.07,23.77,24.8,27.1,20.2,5.0,93.1,86.7,0.0,0.0,1.0
2019-09-11 06:50:00,95.0,59.87,26.17,50.17,23.77,24.9,27.3,20.2,5.0,94.2,87.0,0.0,0.0,1.0
2019-09-11 07:00:00,95.0,59.8,26.17,50.07,23.77,24.9,27.3,20.4,5.0,94.9,87.8,0.0,0.0,1.0
2019-09-11 07:10:00,94.0,59.87,26.17,50.17,23.77,24.9,27.3,20.4,5.0,94.4,87.0,0.0,0.0,1.0
2019-09-11 07:20:00,83.0,59.67,26.17,50.17,23.77,24.9,27.5,20.4,5.0,93.3,87.5,0.0,0.0,1.0
