timestamp,out_hum,f3_hum,f10_temp,f10_hum,f3_temp,out_temp,entemp,extemp,cammode,enhum,exthum,outstatus_0x0002,outstatus_0x0004,outstatus_0x0008
2019-09-14 00:00:00,74.0,40.87,24.77,37.17,23.97,22.0,23.9,22.0,5.0,73.8,50.6,1.0,1.0,1.0
2019-09-14 00:10:00,74.0,42.1,24.77,37.27,23.27,22.1,23.9,20.0,5.0,74.8,53.1,1.0,1.0,1.0
2019-09-14 00:20:00,75.0,42.3,24.67,37.5,22.95,21.9,23.9,20.0,5.0,72.2,52.5,1.0,1.0,1.0
2019-09-14 00:30:00,76.0,42.25,24.57,37.5,22.87,21.8,23.7,20.2,5.0,73.4,52.4,1.0,1.0,1.0
2019-09-14 00:40:00,76.0,42.47,24.57,37.5,22.75,21.7,23.7,20.2,5.0,74.2,52.6,1.0,1.0,1.0
2019-09-14 00:50:00,77.0,42.6,24.57,37.4,22.75,21.7,23.1,20.2,5.0,78.3,52.5,1.0,1.0,1.0
2019-09-14 01:00:00,78.0,42.3,24.45,37.5,22.77,21.9,23.3,20.0,5.0,76.6,53.9,1.0,1.0,1.0
2019-09-14 01:10:00,78.0,42.5,24.45,37.27,22.65,21.8,23.3,19.9,5.0,75.0,55.6,1.0,1.0,1.0
2019-09-14 01:20:00,78.0,42.3,24.45,37.17,22.65,21.7,23.3,20.0,5.0,76.6,52.4,1.0,1.0,1.0
2019-09-14 01:30:00,78.0,42.37,24.47,37.17,22.65,21.7,23.1,19.9,5.0,77.0,52.0,1.0,1.0,1.0
2019-09-14 01:40:00,80.0,42.2,24.45,37.1,22.65,21.7,23.1,19.9,5.0,77.7,52.4,1.0,1.0,1.0
2019-09-14 01:50:00,81.0,41.97,24.4,37.1,22.65,21.7,23.1,19.9,5.0,77.1,53.0,1.0,1.0,1.0
2019-09-14 02:00:00,80.0,41.97,24.45,36.87,22.65,21.6,23.1,20.2,5.0,77.2,51.5,1.0,1.0,1.0
2019-09-14 02:10:00,80.0,41.87,24.4,36.77,22.65,21.6,23.1,20.0,5.0,77.2,52.2,1.0,1.0,1.0
2019-09-14 02:20:00,81.0,41.8,24.35,36.77,22.65,21.6,22.9,20.2,5.0,80.0,54.1,1.0,1.0,1.0
2019-09-14 02:30:00,80.0,41.75,24.35,36.77,22.65,21.6,22.9,20.2,5.0,78.9,53.9,1.0,1.0,1.0
2019-09-14 02:40:00,81.0,41.7,24.35,36.7,22.65,21.5,22.9,20.0,5.0,78.6,54.5,1.0,1.0,1.0
2019-09-14 02:50:00,82.0,41.57,24.35,36.57,22.65,21.5,22.9,19.9,5.0,78.4,55.9,1.0,1.0,1.0
2019-09-14 03:00:00,81.0,41.57,24.35,36.65,22.52,21.4,22.9,20.2,5.0,78.9,51.2,1.0,1.0,1.0
2019-09-14 03:10:00,82.0,41.67,24.35,36.57,22.55,21.5,22.9,20.0,5.0,79.8,52.5,1.0,1.0,1.0
2019-09-14 03:20:00,83.0,41.67,24.27,36.47,22.55,21.4,22.7,19.9,5.0,79.5,51.5,1.0,1.0,1.0
