timestamp,out_hum,f3_hum,f10_temp,f10_hum,f3_temp,out_temp,entemp,extemp,cammode,enhum,exthum,outstatus_0x0002,outstatus_0x0004,outstatus_0x0008
2019-09-09 00:00:00,90.0,50.8,26.5,49.05,25.95,25.0,27.5,27.7,5.0,89.1,78.6,0.0,0.0,0.0
2019-09-09 00:10:00,90.0,52.45,26.55,49.15,26.0,24.9,27.5,27.7,5.0,90.3,59.6,1.0,1.0,1.0
2019-09-09 00:20:00,90.0,51.87,26.55,49.05,25.67,24.9,27.3,25.6,5.0,91.3,57.2,1.0,1.0,1.0
2019-09-09 00:30:00,90.0,52.67,26.37,49.27,25.55,24.9,27.1,25.2,5.0,93.0,61.3,1.0,1.0,1.0
2019-09-09 00:40:00,89.0,52.8,26.27,49.37,25.47,24.9,27.1,25.2,5.0,92.0,58.3,1.0,1.0,1.0
2019-09-09 00:50:00,90.0,52.97,26.27,49.45,25.47,24.8,27.3,24.6,5.0,89.8,62.4,1.0,1.0,1.0
2019-09-09 01:00:00,90.0,52.9,26.27,49.57,25.37,24.7,27.3,25.4,5.0,90.8,58.6,1.0,1.0,1.0
2019-09-09 01:10:00,90.0,52.97,26.25,49.67,25.37,24.6,27.1,24.6,5.0,91.0,62.7,1.0,1.0,1.0
2019-09-09 01:20:00,91.0,52.67,26.27,49.67,25.37,24.8,27.1,25.2,5.0,91.8,58.5,1.0,1.0,1.0
2019-09-09 01:30:00,90.0,52.77,26.27,49.65,25.37,24.8,27.1,24.6,5.0,90.0,62.1,1.0,1.0,1.0
2019-09-09 01:40:00,91.0,52.55,26.27,49.67,25.35,24.8,27.3,25.2,5.0,90.3,59.4,1.0,1.0,1.0
2019-09-09 01:50:00,91.0,52.77,26.27,49.67,25.37,24.7,27.1,24.6,5.0,90.2,61.9,1.0,1.0,1.0
2019-09-09 02:00:00,92.0,52.45,26.27,49.65,25.37,24.6,27.1,25.2,5.0,90.2,59.4,1.0,1.0,1.0
2019-09-09 02:10:00,92.0,52.57,26.25,49.67,25.37,24.7,27.1,24.6,5.0,90.3,60.6,1.0,1.0,1.0
2019-09-09 02:20:00,93.0,52.45,26.15,49.55,25.37,24.7,26.9,25.0,5.0,93.5,62.4,1.0,1.0,1.0
2019-09-09 02:30:00,93.0,52.15,26.17,49.57,25.37,24.6,26.9,25.2,5.0,93.3,57.9,1.0,1.0,1.0
2019-09-09 02:40:00,92.0,52.5,26.17,49.45,25.37,24.6,26.9,24.6,5.0,93.1,63.5,1.0,1.0,1.0
2019-09-09 02:50:00,93.0,52.27,26.17,49.45,25.37,24.5,26.9,25.4,5.0,94.1,59.0,1.0,1.0,1.0
2019-09-09 03:00:00,93.0,52.37,26.17,49.45,25.37,24.4,26.9,24.6,5.0,93.7,62.5,1.0,1.0,1.0
2019-09-09 03:10:00,94.0,52.17,26.17,49.37,25.37,24.4,26.7,25.2,5.0,94.2,59.5,1.0,1.0,1.0
2019-09-09 03:20:00,95.0,52.27,26.27,49.37,25.35,24.4,26.5,24.2,5.0,94.2,61.8,1.0,1.0,1.0
2019-09-09 03:30:00,95.0,52.17,26.15,49.27,25.25,24.3,26.7,24.8,5.0,94.0,59.7,1.0,1.0,1.0
